Year,Birth_year,City,SBD,maths,Literature,Physics,Chemistry,Biology,Eng
2018,2000,Da Nang,4006003,4.2,1.5,,,,
2018,2000,Da Nang,4006006,6.6,3.5,7,4.75,4.5,2.2
2018,2000,Da Nang,4006008,6.6,8,6.5,6,6.25,6.2
2018,2000,Da Nang,4006013,5.2,3,3.5,3.75,4.75,3.4
2018,2000,Da Nang,4006019,7,6.25,6.25,5.5,3.75,6.2
2018,2000,Da Nang,4006020,3.6,4,4.25,5.75,4.5,3.8
2018,2000,Da Nang,4006023,7.6,6.75,3.75,3.75,3.25,3.6
2018,2000,Da Nang,4006048,5.2,3,4.25,3.75,3.5,2.4
2018,2000,Da Nang,4006060,5,6,4,2.5,3.5,5.6
2018,2000,Da Nang,4006065,7.2,6,8,6.5,5.5,6.2
2018,2000,Da Nang,4005568,5.4,5.75,1.5,3.5,2.75,5
2018,2000,Da Nang,4005569,4.2,4.25,2.75,2.75,2.75,6.4
2018,2000,Da Nang,4005570,2.8,2.25,3.25,7,5,3.6
2018,2000,Da Nang,4005575,6.4,6,4.5,4,5.25,4.4
2018,2000,Da Nang,4005422,4.6,8.25,6,3.25,4,6.4
2018,2000,Da Nang,4005433,3.6,3.5,3.75,2.75,4.25,2.2
2018,2000,Da Nang,4005440,3.4,2.75,6,6.25,3.5,3
2018,2000,Da Nang,4005426,5,4.5,,,,3
2018,2000,Da Nang,4005606,4.6,3,,,,3
2018,2000,Da Nang,4005607,3.4,5,,,,1.6
2018,2000,Da Nang,4005610,6.8,4.25,,,,5
2018,2000,Da Nang,4005621,6,3.25,4.25,3.25,3,5
2018,2000,Da Nang,4005631,6.6,8.5,2,4.25,4.25,7.6
2018,2000,Da Nang,4005671,5.6,5.75,4.25,3.5,3.25,7.2
2018,2000,Da Nang,4005675,4.2,5,6.5,5.5,3.25,4.2
2018,2000,Da Nang,4005691,2.8,2.25,5.5,3.5,4,3
2018,2000,Da Nang,4005713,4.4,4.5,7,6.75,4.25,7.4
2018,2000,Da Nang,4005571,4.8,3.75,3.25,6,2.25,3
2018,2000,Da Nang,4005573,5.4,3.75,3.75,3.75,4,3
2018,2000,Da Nang,4005577,5.6,5.75,4,1.5,4.75,1.6
2018,2000,Da Nang,4005641,6.4,6,4,3.5,4,6.8
2018,2000,Da Nang,4005653,5.4,5.5,5.5,3.75,3.5,2.4
2018,2000,Da Nang,4005656,5.4,8,2.5,4.75,3,3.6
